RELEASE DATE,AUCID,PUBLISHER,TITLE,SUPPLY,RESERVE_PRICE
2/1/17,CMZ0376,DC COMICS,Fall And Rise Of Captain Atom #2 (Of 6),12,2.99
2/1/17,CMZ0377,DC COMICS,Flintstones #8 (Cover A Cully Hamner),15,3.99
2/1/17,CMZ0378,DC COMICS,Green Arrow #16 (Cover A Juan Ferreyra),5,2.99
2/1/17,CMZ0379,DC COMICS,Green Lanterns #16 (Cover A James Harren),2,2.99
2/1/17,CMZ0380,DC COMICS,Harley Quinn #13 (Cover A Amanda Conner),7,2.99
2/1/17,CMZ0381,DC COMICS,Harley Quinn And Her Gang Of Harleys TP,4,16.99
2/1/17,CMZ0382,DC COMICS,Injustice Ground Zero #5,1,2.99
2/1/17,CMZ0383,DC COMICS,Justice League #14 (Cover A Bryan Hitch & Daniel Henriques),9,2.99
2/1/17,CMZ0384,DC COMICS,Kid Eternity Volume 1 TP,23,24.99
2/1/17,CMZ0385,DC COMICS,Midnighter And Apollo #5 (Of 6),9,3.99
2/1/17,CMZ0386,DC COMICS,Nightwing #14 (Cover A Marcus To),14,2.99
2/1/17,CMZ0387,DC COMICS,Robin Son Of Batman Volume 2 Dawn Of The Demons TP,16,16.99
2/1/17,CMZ0388,DC COMICS,Scooby Apocalypse Volume 1 TP,34,16.99
2/1/17,CMZ0389,DC COMICS,Shade The Changing Girl #5 (Cover A Becky Cloonan),1,3.99
2/1/17,CMZ0390,DC COMICS,Sheriff Of Babylon Volume 2 Pow Pow Pow TP,5,16.99
2/1/17,CMZ0391,DC COMICS,Super Powers #4 (Of 6),9,2.99
2/1/17,CMZ0392,DC COMICS,Superman #16 (Cover A Ryan Sook),10,2.99
2/1/17,CMZ0393,DC COMICS,Teen Titans Volume 4 When Titans Fall TP,9,16.99
2/1/17,CMZ0394,DC COMICS,Wonder Woman Volume 9 Resurrection TP,10,16.99
2/1/17,CMZ0395,DIAMOND PUBLICATIONS,Game Trade Magazine #204,2,3.99
2/1/17,CMZ0396,DIAMOND PUBLICATIONS,Previews #341 (February 2017),1,3.99
2/1/17,CMZ0397,DOVER PUBLICATIONS,Lightrunner GN,5,19.95
2/1/17,CMZ0398,DOVER PUBLICATIONS,Little Tulip GN,2,14.95
2/1/17,CMZ0399,DOVER PUBLICATIONS,Seekers Into The Mystery TP,8,34.95
2/1/17,CMZ0400,DYNAMITE ENTERTAINMENT,Flash Gordon Kings Cross #4 (Of 5)(Cover A Jesse Hamm),6,3.99
2/1/17,CMZ0401,DYNAMITE ENTERTAINMENT,Flash Gordon Kings Cross #4 (Of 5)(Cover B Adrian Nelson),1,3.99
2/1/17,CMZ0402,DYNAMITE ENTERTAINMENT,Flash Gordon Kings Cross #4 (Of 5)(Cover C Roberto Castro),4,3.99
2/1/17,CMZ0403,DYNAMITE ENTERTAINMENT,Green Hornet Reign Of The Demon #3 (Of 4)(Cover A Moritat),6,3.99
2/1/17,CMZ0404,DYNAMITE ENTERTAINMENT,Green Hornet Reign Of The Demon #3 (Of 4)(Cover B Anthony Marques),9,3.99
2/1/17,CMZ0405,DYNAMITE ENTERTAINMENT,Intertwined #4 (Of 6)(Cover A Fred Pham Chuong),2,3.99
2/1/17,CMZ0406,DYNAMITE ENTERTAINMENT,Shadow The Death Of Margo Lane HC (Limited Previews Exclusive Edition),3,199.99
2/1/17,CMZ0407,DYNAMITE ENTERTAINMENT,Vampirella #0 (Cover A Philip Tan),2,0.25
2/1/17,CMZ0408,DYNAMITE ENTERTAINMENT,Will Eisner's The Spirit The Corpse-Makers #1 (Of 5)(Cover A Francesco Francavilla),2,3.99
2/1/17,CMZ0409,FANTAGRAPHICS BOOKS,Eightball Caricature Nine Stories TP (New Printing),2,16.99
2/1/17,CMZ0410,FANTAGRAPHICS BOOKS,Farmer Ned's Comics Barn GN (Gerald Jabolonski Collection),1,30
2/1/17,CMZ0411,FANTAGRAPHICS BOOKS,Not Waving But Drawing GN (John Cuneo Collection),6,25
2/1/17,CMZ0412,HERMES PRESS,Phantom The Complete Avon Novels Volume 2 The Slave Market Of Mucar SC,8,14.99
2/1/17,CMZ0413,IDW PUBLISHING,Back To The Future #16 (Cover A Emma Vieceli),5,3.99
2/1/17,CMZ0414,IDW PUBLISHING,Back To The Future #16 (Cover B Dan Schoening),9,3.99
2/1/17,CMZ0415,IDW PUBLISHING,Box Office Poison Color Comics #2 (Cover A Alex Robinson),12,3.99
2/1/17,CMZ0416,IDW PUBLISHING,Chester 5000 Volume 2 Isabelle And George HC,15,14.95
2/1/17,CMZ0417,IDW PUBLISHING,Donald Quest #4 (Of 5)(Cover A Andrea Freccero),5,3.99
2/1/17,CMZ0418,IDW PUBLISHING,Donald Quest #4 (Of 5)(Cover B Stefano Zanchi),2,3.99
2/1/17,CMZ0419,IDW PUBLISHING,Electric Sublime #4 (Of 4)(Cover A Martin Morazzo),7,3.99
2/1/17,CMZ0420,IDW PUBLISHING,Electric Sublime #4 (Of 4)(Cover B Brendan McCarthy),4,3.99
2/1/17,CMZ0421,IDW PUBLISHING,Ghostbusters Annual 2017 (Cover A Dan Schoening),1,7.99
2/1/17,CMZ0422,IDW PUBLISHING,Ghostbusters Annual 2017 (Cover B Tim Lattie),9,7.99
2/1/17,CMZ0423,IDW PUBLISHING,Ghostbusters International Volume 2 TP,23,19.99
2/1/17,CMZ0424,IDW PUBLISHING,Haunted Horror #26 (Cover A Bernard Baily),9,4.99
2/1/17,CMZ0425,IDW PUBLISHING,Jem And The Holograms Annual 2017 (Cover B Becca Farrow),14,7.99
2/1/17,CMZ0426,IDW PUBLISHING,Jem And The Misfits #2 (Cover A M. Victoria Robado),16,3.99
2/1/17,CMZ0427,IDW PUBLISHING,Jem And The Misfits #2 (Cover B Jenn St-Onge),34,3.99
2/1/17,CMZ0428,IDW PUBLISHING,Jim Thompson's The Killer Inside Me #5 (Of 5)(Cover A Vic Malhotra),1,3.99
2/1/17,CMZ0429,IDW PUBLISHING,Jim Thompson's The Killer Inside Me #5 (Of 5)(Cover B Robert Hack),5,3.99
2/1/17,CMZ0430,IDW PUBLISHING,Judge Dredd The Brendan McCarthy Collection HC,9,49.99
2/1/17,CMZ0431,IDW PUBLISHING,My Little Pony Friends Forever Volume 8 TP,10,19.99
2/1/17,CMZ0432,IDW PUBLISHING,My Little Pony Friendship Is Magic #50 (Cover A Andy Price),9,5.99
2/1/17,CMZ0433,IDW PUBLISHING,My Little Pony Friendship Is Magic #50 (Cover B Andy Price),12,5.99
2/1/17,CMZ0434,IDW PUBLISHING,Popeye Classics #55 (Cover A Bud Sagendorf),15,4.99
2/1/17,CMZ0435,IDW PUBLISHING,Star Trek New Visions Volume 12 Sam (Cover A John Byrne),5,7.99
2/1/17,CMZ0436,IDW PUBLISHING,Teenage Mutant Ninja Turtles The IDW Collection Volume 4 HC,2,49.99
2/1/17,CMZ0437,IDW PUBLISHING,Transformers Lost Light #2 (Cover A Jack Lawrence),7,3.99
2/1/17,CMZ0438,IDW PUBLISHING,Transformers Lost Light #2 (Cover B Alex Milne),4,3.99
2/1/17,CMZ0439,IDW PUBLISHING,Transformers Lost Light #2 (Cover C Nick Roche),1,3.99
2/1/17,CMZ0440,IDW PUBLISHING,Uncle Scrooge #23 (Cover A Giorgio Cavazzano),9,3.99
2/1/17,CMZ0441,IDW PUBLISHING,Uncle Scrooge #23 (Cover B Francisco Rodriguez Peinado),23,3.99
2/1/17,CMZ0442,IDW PUBLISHING,WEIRD Love Jailbird Romance HC,9,29.99
2/1/17,CMZ0443,IDW PUBLISHING,Wind In The Willows HC (Illustrated By David Petersen),14,24.99
2/1/17,CMZ0444,IDW PUBLISHING,Yakuza Demon Killers #4 (Of 6)(Cover A Eli Powell & K. Michael Russell),16,3.99
2/1/17,CMZ0445,IDW PUBLISHING,Yakuza Demon Killers #4 (Of 6)(Cover B Eli Powell & K. Michael Russell),34,3.99
2/1/17,CMZ0446,IDW PUBLISHING,You Might Be An Artist If HC,1,19.99
2/1/17,CMZ0447,IMAGE COMICS,Deadly Class #26 (Cover A Wesley Craig),5,3.99
2/1/17,CMZ0448,IMAGE COMICS,Deadly Class #26 (Cover B Eric Canete Image Tribute Variant),9,3.99
2/1/17,CMZ0449,IMAGE COMICS,Image+ #10 (The Walking Dead Here's Negan Part 10),10,1.25
2/1/17,CMZ0450,IMAGE COMICS,Invincible #132,5,2.99
2/1/17,CMZ0451,IMAGE COMICS,Nailbiter #29 (Cover A Mike Henderson),2,2.99
2/1/17,CMZ0452,IMAGE COMICS,Paper Girls #11,7,2.99
2/1/17,CMZ0453,IMAGE COMICS,Planetoid Praxis #1 (Of 6),4,3.99
2/1/17,CMZ0454,IMAGE COMICS,Walking Dead #163 (Cover A Charlie Adlard & Dave Stewart),1,0.25
2/1/17,CMZ0455,IMAGE COMICS,Walking Dead #163 (Cover B Charlie Adlard & Dave Stewart),9,0.25
2/1/17,CMZ0456,IMAGE COMICS,Walking Dead #163 (Cover C Charlie Adlard),23,0.25
2/1/17,CMZ0457,IRON CIRCUS COMICS,Poorcraft Volume 1 GN,9,10
2/1/17,CMZ0458,JOE BOOKS,Disney Descendants Cinestory Volume 3 TP,14,9.99
2/1/17,CMZ0459,JOE BOOKS,Disney Frozen #5,16,3.99
2/1/17,CMZ0460,MARRS MEDIA,Rue Morgue Special Phantasm,34,14.95
2/1/17,CMZ0461,MARVEL COMICS,All-New X-Men #1.MU (Adam Kubert Regular Cover),1,4.99
2/1/17,CMZ0462,MARVEL COMICS,All-New X-Men #18 (Mark Bagley Regular Cover),5,3.99
2/1/17,CMZ0463,MARVEL COMICS,Alpha Flight By John Byrne Omnibus HC,9,100
2/1/17,CMZ0464,MARVEL COMICS,Avengers #4 (Alex Ross Regular Cover),10,3.99
2/1/17,CMZ0465,MARVEL COMICS,Bullseye #1 (Of 5)(Dave Johnson Regular Cover),2,4.99
2/1/17,CMZ0466,MARVEL COMICS,Captain Marvel Volume 2 Civil War II TP,1,16.99
2/1/17,CMZ0467,MARVEL COMICS,Champions #5 (Humberto Ramos Regular Cover),5,3.99
2/1/17,CMZ0468,MARVEL COMICS,Civil War II HC,2,50
2/1/17,CMZ0469,MARVEL COMICS,Color Your Own Wolverine TP,8,9.99
2/1/17,CMZ0470,MARVEL COMICS,Deadpool #26 (David Lopez Regular Cover),15,3.99
2/1/17,CMZ0471,MARVEL COMICS,Deadpool And The Mercs For Money #8 (Iban Coello Regular Cover),5,3.99
2/1/17,CMZ0472,MARVEL COMICS,Hawkeye #3 (Julian Totino Tedesco Regular Cover),2,3.99
2/1/17,CMZ0473,MARVEL COMICS,Karnak #6,7,3.99
2/1/17,CMZ0474,MARVEL COMICS,Marvel Previews February 2017,4,1.25
2/1/17,CMZ0475,MARVEL COMICS,Marvel Universe Avengers Ultron Revolution #8,1,2.99
2/1/17,CMZ0476,MARVEL COMICS,Marvel's Guardians Of The Galaxy Volume 2 Prelude #2 (Of 2),9,2.99
2/1/17,CMZ0477,MARVEL COMICS,Monsters Unleashed #2 (Of 5)(Greg Land Regular Cover),23,4.99
2/1/17,CMZ0478,MARVEL COMICS,Moon Knight #11,9,3.99
2/1/17,CMZ0479,MARVEL COMICS,Nova #3 (Ramon Perez Regular Cover),14,3.99
2/1/17,CMZ0480,MARVEL COMICS,Old Man Logan #17,16,3.99
2/1/17,CMZ0481,MARVEL COMICS,Slapstick #3 (David Nakayama Regular Cover),34,3.99
2/1/17,CMZ0482,MARVEL COMICS,Spider-Gwen Volume 1 HC,1,34.99
2/1/17,CMZ0483,MARVEL COMICS,Spider-Man 2099 #20,5,3.99
2/1/17,CMZ0484,MARVEL COMICS,Star Wars #28 (Stuart Immonen Regular Cover),9,3.99
2/1/17,CMZ0485,MARVEL COMICS,Star Wars Darth Maul #1 (Of 5)(Rod Reis Regular Cover),10,4.99
2/1/17,CMZ0486,MARVEL COMICS,Thanos Death Sentence Prose Novel HC,9,24.99
2/1/17,CMZ0487,MARVEL COMICS,True Believers Wolverine #1,10,1
2/1/17,CMZ0488,MARVEL COMICS,True Believers Wolverine Vs Hulk #1,2,1
2/1/17,CMZ0489,MARVEL COMICS,Unbelievable Gwenpool #11,1,3.99
2/1/17,CMZ0490,MARVEL COMICS,Unstoppable Wasp #2 (Elsa Charretier Regular Cover),5,3.99
2/1/17,CMZ0491,MARVEL COMICS,War Of Kings Aftermath Realm Of Kings Omnibus HC,2,125
2/1/17,CMZ0492,MARVEL COMICS,Wolverine Epic Collection Volume 12 Shadow Of Apocalypse TP,8,39.99
2/1/17,CMZ0493,MARVEL COMICS,Wolverine Old Man Logan HC (New Printing),6,34.99
2/1/17,CMZ0494,NBM,Lighthouse HC,1,15.99
2/1/17,CMZ0495,ONI PRESS,Invader Zim #1 (1 Dollar Edition),4,1
2/1/17,CMZ0496,ONI PRESS,Kaijumax #1 (1 Dollar Edition),6,1
2/1/17,CMZ0497,ONI PRESS,Letter 44 #1 (1 Dollar Edition),9,1
2/1/17,CMZ0498,ONI PRESS,Life After #1 (1 Dollar Edition),2,1
2/1/17,CMZ0499,PENGUIN BOOKS,Darling I Love You Poems From The Hearts Of Our Glorious Mutts And All Our Animal Friends SC,3,17
2/1/17,CMZ0500,SANCTUM PRODUCTIONS,Doc Savage Double Novel Volume 46 SC (James Bama Variant Cover),2,14.95
2/1/17,CMZ0501,SANCTUM PRODUCTIONS,Shadow Double Novel Volume 114 SC,2,14.95
2/1/17,CMZ0502,SEVEN SEAS ENTERTAINMENT,Kindred Spirits On The Roof The Complete Collection TP,2,20.99
2/1/17,CMZ0503,SEVEN SEAS ENTERTAINMENT,My Pathetic Vampire Life Volume 2 GN,1,12.99
2/1/17,CMZ0504,SPACE GOAT PUBLISHING,Big Game Hunters Digest Volume 1 The Lizard Baron TP,6,15.99
2/1/17,CMZ0505,SPACE GOAT PUBLISHING,Mage Inc Digest Volume 1 The Intern TP,8,15.99
2/1/17,CMZ0506,T PUB,Twisted Light GN,5,14.99
2/1/17,CMZ0507,TITAN ENTERTAINMENT GROUP,Assassin's Creed Uprising #1 (Cover A Alex Ronald),9,3.99
2/1/17,CMZ0508,TITAN ENTERTAINMENT GROUP,Assassin's Creed Uprising #1 (Cover B Sunsetagain),12,3.99
2/1/17,CMZ0509,TITAN ENTERTAINMENT GROUP,Assassin's Creed Uprising #1 (Cover C Jimbo Salgado),15,3.99
2/1/17,CMZ0510,TITAN ENTERTAINMENT GROUP,Assassin's Creed Uprising #1 (Cover D Jose Holder),5,3.99
2/1/17,CMZ0511,TITAN ENTERTAINMENT GROUP,Assassin's Creed Uprising #1 (Cover E Doubleleaf),2,3.99
2/1/17,CMZ0512,TITAN ENTERTAINMENT GROUP,Assassin's Creed Uprising #1 (Cover F Blank Sketch),7,3.99
2/1/17,CMZ0513,TITAN ENTERTAINMENT GROUP,Best Of Star Wars Insider SC,4,19.99
2/1/17,CMZ0514,TITAN ENTERTAINMENT GROUP,Doctor Who The Twelfth Doctor Year Two #14 (Cover A Claudia Caranfa),1,3.99
2/1/17,CMZ0515,TITAN ENTERTAINMENT GROUP,Doctor Who The Twelfth Doctor Year Two #14 (Cover B Photo),9,3.99
2/1/17,CMZ0516,TITAN ENTERTAINMENT GROUP,Doctor Who The Twelfth Doctor Year Two #14 (Cover C Max Baxter),23,3.99
2/1/17,CMZ0517,TITAN ENTERTAINMENT GROUP,Hard Case Crime The Assignment #2 (Of 3)(Cover A Alex Shiboa),9,5.99
2/1/17,CMZ0518,TITAN ENTERTAINMENT GROUP,Hard Case Crime The Assignment #2 (Of 3)(Cover B Simone Di Meo),14,5.99
2/1/17,CMZ0519,TITAN ENTERTAINMENT GROUP,Hard Case Crime The Assignment #2 (Of 3)(Cover C Jef),16,5.99
2/1/17,CMZ0520,TITAN ENTERTAINMENT GROUP,Hard Case Crime The Assignment #2 (Of 3)(Cover D Jef),34,5.99
2/1/17,CMZ0521,TITAN ENTERTAINMENT GROUP,Resident Evil The Final Chapter MMPB,1,7.99
2/1/17,CMZ0522,TITAN ENTERTAINMENT GROUP,Rivers Of London Black Mould #4 (Of 5)(Cover A Rachael Stott),5,3.99
2/1/17,CMZ0523,TITAN ENTERTAINMENT GROUP,Rivers Of London Black Mould #4 (Of 5)(Cover B Lee Sullivan),9,3.99
2/1/17,CMZ0524,TITAN ENTERTAINMENT GROUP,Rivers Of London Black Mould #4 (Of 5)(Cover C Assissi),10,3.99
2/1/17,CMZ0525,VALIANT ENTERTAINMENT,A&A The Adventures Of Archer And Armstrong #12 (Cover A Kano),9,3.99
2/1/17,CMZ0526,VALIANT ENTERTAINMENT,A&A The Adventures Of Archer And Armstrong #12 (Cover B Brent Peeples),12,3.99
2/1/17,CMZ0527,VALIANT ENTERTAINMENT,Faith #8 (Cover A Kano),15,3.99
2/1/17,CMZ0528,VALIANT ENTERTAINMENT,Faith #8 (Cover B Philip Tan),5,3.99
2/1/17,CMZ0529,VALIANT ENTERTAINMENT,Faith #8 (Cover C David LaFuente),2,3.99
2/1/17,CMZ0530,VERTICAL COMICS,Junji Ito's Dissolving Classroom GN,7,12.95
2/1/17,CMZ0531,VIZ MEDIA,Complete Pokemon Pocket Guide Volume 1 SC (2nd Edition),4,10.99
2/1/17,CMZ0532,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Day Of The Dead #1 (Of 6)(Cover A Allan Otero),1,3.99
2/1/17,CMZ0533,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Day Of The Dead #1 (Of 6)(Cover B Noah Salonga),9,3.99
2/1/17,CMZ0534,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Day Of The Dead #1 (Of 6)(Cover C Sean Chen),23,3.99
2/1/17,CMZ0535,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Day Of The Dead #1 (Of 6)(Cover D Manuel Preitano),9,3.99
2/1/17,CMZ0536,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Red Agent The Human Order #3 (Cover A Sami Kivela),14,3.99
2/1/17,CMZ0537,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Red Agent The Human Order #3 (Cover B Allan Otero),16,3.99
2/1/17,CMZ0538,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Red Agent The Human Order #3 (Cover C Alfredo Reyes),34,3.99
2/1/17,CMZ0539,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Red Agent The Human Order #3 (Cover D Jose Luis),1,3.99
2/1/17,CMZ0540,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Robyn Hood I Love NY #1 (Of 12)(Coloring Book Edition),5,10
2/1/17,CMZ0541,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Van Helsing Vs Frankenstein #5 (Of 5)(Cover A Manuel Preitano),9,3.99
2/1/17,CMZ0542,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Van Helsing Vs Frankenstein #5 (Of 5)(Cover B Jason Metcalf),10,3.99
2/1/17,CMZ0543,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Van Helsing Vs Frankenstein #5 (Of 5)(Cover C Renato Rei),5,3.99
2/1/17,CMZ0544,ZENESCOPE ENTERTAINMENT,Grimm Fairy Tales Presents Van Helsing Vs Frankenstein #5 (Of 5)(Cover D Leonardo Colapietro),2,3.99
2/1/17,CMZ0545,ZENESCOPE ENTERTAINMENT,Spirit Hunters #4 (Of 12)(Cover A Anthony Spay),7,3.99
2/1/17,CMZ0546,ZENESCOPE ENTERTAINMENT,Spirit Hunters #4 (Of 12)(Cover B Daniel Leister),4,3.99
2/1/17,CMZ0547,ZENESCOPE ENTERTAINMENT,Spirit Hunters #4 (Of 12)(Cover C Renato Rei),1,3.99
2/1/17,CMZ0548,ZENESCOPE ENTERTAINMENT,Spirit Hunters #4 (Of 12)(Cover D Harvey Tolibao),9,3.99
2/1/17,CMZ0549,BOUNDLESS COMICS,Jungle Fantasy Ivory #6 (Christian Zanier Sultry Adult Cover)(adult),23,7.99
2/1/17,CMZ0550,BOUNDLESS COMICS,Jungle Fantasy Ivory #6 (Christian Zanier Sultry Nude Cover)(adult),9,7.99
2/1/17,CMZ0551,BOUNDLESS COMICS,Jungle Fantasy Ivory #6 (Matt Martin Luscious Adult Cover)(adult),14,7.99
2/1/17,CMZ0552,BOUNDLESS COMICS,Jungle Fantasy Ivory #6 (Matt Martin Luscious Nude Cover)(adult),16,7.99
2/1/17,CMZ0553,BOUNDLESS COMICS,Jungle Fantasy Ivory #6 (Raulo Caceres Natural Beauty Nude Cover)(adult),34,7.99
2/1/17,CMZ0554,BOUNDLESS COMICS,Jungle Fantasy Ivory #6 (Raulo Caceres Wraparound Nude Cover)(adult),1,7.99
2/1/17,CMZ0555,BOUNDLESS COMICS,Jungle Fantasy Ivory #6 (Renato Camilo Nude Cover)(adult),5,7.99